mse,rmse,ndcg@10,precision@10,recall@10,f1@10,embedding_dim,learning_rate,batch_size,dropout_rate,num_epochs
0.9172823641035291,0.95765907,0.9963891087831008,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,128,0.0,20
0.9684002461256804,0.98365337,0.9960200320680991,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,128,0.0,40
0.9968736714786953,0.99848074,0.996306439663696,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,128,0.3,20
1.0147418684429592,1.0073842,0.9962797241224326,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,128,0.3,40
1.1595931158346289,1.0758865,0.9963141120232115,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,512,0.0,20
1.183946611250148,1.0868922,0.9961374129878562,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,512,0.0,40
1.1003952271798079,1.0469244,0.9964149670161456,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,512,0.3,20
1.314924485543195,1.1448222,0.9960544230660358,0.8673749758242733,0.87688927358679,0.8705876769228104,5,0.001,512,0.3,40
0.8928293709401731,0.94475996,0.9963641722515263,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,128,0.0,20
1.108473006884257,1.052941,0.9959662685266881,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,128,0.0,40
0.9974904515125134,0.9985729,0.996153103314051,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,128,0.3,20
0.9703220747135304,0.9851102,0.9964383261661034,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,128,0.3,40
1.2212292727302103,1.1049912,0.9960562817694626,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,512,0.0,20
1.1407520280164831,1.0674413,0.9962259921073875,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,512,0.0,40
1.1984657715348637,1.0937555,0.9961263961074224,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,512,0.3,20
1.2380545244497412,1.1123497,0.9962181147462532,0.8673749758242733,0.87688927358679,0.8705876769228104,6,0.001,512,0.3,40
