mse,rmse,ndcg@10,precision@10,recall@10,f1@10,custom_embedding_dim,random_embedding_dim,custom_dropout_rate,random_dropout_rate,custom_learning_rate,random_learning_rate,fc_dropout_rate,fc_learning_rate,batch_size,num_epochs
0.6729327,0.8203247,0.9769316093577879,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.0,0.001,512,40
0.6632457,0.81439894,0.9769707098236231,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.3,0.001,128,20
0.6269969,0.7918313,0.9767964000002541,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.3,0.001,128,40
0.8157652,0.9031972,0.9756000606712862,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.3,0.001,512,20
0.81703985,0.9039026,0.9758273616508683,0.9067006147352968,0.953757225433526,0.9226680973263769,5,8,0.3,0.0,0.001,0.001,0.3,0.001,512,40
0.79746413,0.8930085,0.9758443457063875,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.0,0.001,128,20
0.6621815,0.8137454,0.9787811854617857,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.0,0.001,128,40
0.70162755,0.8376321,0.9763263026104441,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.0,0.001,512,20
0.7260193,0.85206765,0.9797948391666437,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.0,0.001,512,40
0.6398245,0.79989034,0.9763099764078595,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.3,0.001,128,20
0.70806783,0.8414677,0.9762921010726388,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.3,0.001,128,40
0.7782509,0.8821853,0.9768026045364102,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.3,0.001,512,20
0.74767846,0.86468405,0.9767661034757731,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.0,0.0,0.001,0.001,0.3,0.001,512,40
0.7463923,0.86394,0.9798561282313086,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.0,0.001,128,20
0.641553,0.80097,0.9786627930920665,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.0,0.001,128,40
0.89066875,0.94375247,0.9777431826343889,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.0,0.001,512,20
0.7291122,0.8538807,0.9787813207725269,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.0,0.001,512,40
0.70002884,0.83667725,0.9772557594853943,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.3,0.001,128,20
0.68954736,0.83038986,0.9783404354064148,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.3,0.001,128,40
0.68865365,0.82985157,0.9795505689627678,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.3,0.001,512,20
0.7604363,0.87202996,0.9771204254358462,0.9067006147352968,0.953757225433526,0.9226680973263769,6,5,0.3,0.0,0.001,0.001,0.3,0.001,512,40
0.7121605,0.84389603,0.976901128328194,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.0,0.001,128,20
0.68027586,0.8247884,0.9772168879807177,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.0,0.001,128,40
0.72944355,0.85407466,0.9769598397485743,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.0,0.001,512,20
0.8062577,0.8979185,0.9779128892912268,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.0,0.001,512,40
0.6668498,0.8166087,0.977590598993396,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.3,0.001,128,20
0.6936199,0.8328385,0.9769799530612017,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.3,0.001,128,40
0.776325,0.8810931,0.9800465627434707,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.3,0.001,512,20
0.680466,0.8249036,0.9746580690026815,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.0,0.0,0.001,0.001,0.3,0.001,512,40
0.7588211,0.8711034,0.9770489830473954,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.0,0.001,128,20
0.73575795,0.85776335,0.976483055085341,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.0,0.001,128,40
0.82123804,0.90622187,0.9775414660730485,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.0,0.001,512,20
0.8504536,0.92220044,0.9803311354017743,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.0,0.001,512,40
0.64551866,0.80344176,0.9756324766983792,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.3,0.001,128,20
0.7055409,0.8399648,0.9744320587294087,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.3,0.001,128,40
0.8719736,0.9337953,0.9755197492130586,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.3,0.001,512,20
0.85195684,0.92301506,0.9765091786067494,0.9067006147352968,0.953757225433526,0.9226680973263769,6,8,0.3,0.0,0.001,0.001,0.3,0.001,512,40
