mse,rmse,ndcg@10,precision@10,recall@10,f1@10,embedding_dim,learning_rate,batch_size,dropout_rate,num_epochs
0.9093011485205756,0.95353365,0.9964539313947918,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,128,0.0,20
1.0218176846151,1.0109631,0.9963503764415911,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,128,0.0,40
0.9735134107095224,0.98656076,0.9962189565698489,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,128,0.3,20
1.1058386970449376,1.0515075,0.9961729408965633,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,128,0.3,40
1.1429843201356775,1.0680442,0.9959237572991817,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,512,0.0,20
1.1345707458608292,1.0639302,0.9962329161550997,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,512,0.0,40
1.141870411003337,1.06756,0.9962173187804794,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,512,0.3,20
1.1579181078602285,1.0751439,0.9961220159596902,0.09944070843598109,0.87688927358679,0.8705876769228104,5,0.001,512,0.3,40
0.9127030571301779,0.9551509,0.9964301632231112,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,128,0.0,20
1.029678006083877,1.0146652,0.9961037729037837,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,128,0.0,40
1.0435540384716457,1.0209988,0.9961280571689232,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,128,0.3,20
1.145705400131367,1.0700016,0.996336719815424,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,128,0.3,40
1.1301482354893404,1.0607139,0.9962629703091634,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,512,0.0,20
1.173330512116937,1.0821055,0.9961792110188492,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,512,0.0,40
1.228451216922087,1.1071932,0.9960967661996626,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,512,0.3,20
1.1638572882203495,1.0774994,0.9962793761451746,0.09944070843598109,0.87688927358679,0.8705876769228104,6,0.001,512,0.3,40
