cluster_id,embedding_dim,learning_rate,batch_size,dropout_rate,num_epochs,mse,rmse,ndcg@10,precision@10,recall@10,f1@10,train_time_sec
0,6,0.001,128,0.0,20,0.86140996,0.92812175,0.9964342486699961,0.8886216619671587,0.8968319787692818,0.8913584342345331,172.96
1,6,0.001,128,0.0,20,2.0432296,1.4294158,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,65.4
2,6,0.001,128,0.0,20,0.7521895,0.8672886,0.9785233763379525,0.9067006147352968,0.953757225433526,0.9226680973263769,45.97
3,6,0.001,128,0.0,20,0.56137747,0.74925125,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,104.76
0,6,0.001,128,0.0,40,0.8223833,0.9068535,0.9972593252254285,0.8886216619671587,0.8968319787692818,0.8913584342345331,229.06
1,6,0.001,128,0.0,40,2.1124156,1.4534152,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,58.71
2,6,0.001,128,0.0,40,0.7690062,0.87693,0.9766062009382094,0.9067006147352968,0.953757225433526,0.9226680973263769,52.5
3,6,0.001,128,0.0,40,0.5516739,0.74274755,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,140.03
0,6,0.001,128,0.3,20,0.8496998,0.9217916,0.9967044707884188,0.8886216619671587,0.8968319787692818,0.8913584342345331,379.09
1,6,0.001,128,0.3,20,2.179393,1.4762768,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,66.3
2,6,0.001,128,0.3,20,0.9575157,0.9785273,0.9745469906236424,0.9067006147352968,0.953757225433526,0.9226680973263769,67.49
3,6,0.001,128,0.3,20,0.6839974,0.8270413,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,157.54
0,6,0.001,128,0.3,40,0.86714655,0.93120706,0.9963515146194611,0.8886216619671587,0.8968319787692818,0.8913584342345331,284.53
1,6,0.001,128,0.3,40,2.2162437,1.4887054,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,72.34
2,6,0.001,128,0.3,40,0.97325885,0.9865388,0.9779745858187613,0.9067006147352968,0.953757225433526,0.9226680973263769,60.29
3,6,0.001,128,0.3,40,0.6788667,0.82393366,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,137.27
0,6,0.001,512,0.0,20,0.8385584,0.91572833,0.9968276098547717,0.8886216619671587,0.8968319787692818,0.8913584342345331,194.11
1,6,0.001,512,0.0,20,2.0321414,1.425532,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,50.13
2,6,0.001,512,0.0,20,0.7042101,0.83917224,0.9793273337489263,0.9067006147352968,0.953757225433526,0.9226680973263769,48.0
3,6,0.001,512,0.0,20,0.53069043,0.72848505,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,125.37
0,6,0.001,512,0.0,40,0.8287716,0.9103689,0.9970034053314828,0.8886216619671587,0.8968319787692818,0.8913584342345331,198.76
1,6,0.001,512,0.0,40,2.038367,1.4277139,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,63.43
2,6,0.001,512,0.0,40,0.7107368,0.8430521,0.9781518804527446,0.9067006147352968,0.953757225433526,0.9226680973263769,50.02
3,6,0.001,512,0.0,40,0.5328287,0.72995114,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,125.24
0,6,0.001,512,0.3,20,0.89952874,0.9484349,0.99643144605057,0.8886216619671587,0.8968319787692818,0.8913584342345331,314.94
1,6,0.001,512,0.3,20,2.2394226,1.49647,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,81.66
2,6,0.001,512,0.3,20,1.0577372,1.0284635,0.9764440391857152,0.9067006147352968,0.953757225433526,0.9226680973263769,74.76
3,6,0.001,512,0.3,20,0.7564542,0.86974376,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,182.5
0,6,0.001,512,0.3,40,0.8674996,0.9313966,0.9963600537532262,0.8886216619671587,0.8968319787692818,0.8913584342345331,422.87
1,6,0.001,512,0.3,40,2.4196157,1.5555114,1.0,0.6421568627450981,0.6421568627450981,0.6421568627450981,68.48
2,6,0.001,512,0.3,40,1.0160178,1.0079771,0.9769968559690482,0.9067006147352968,0.953757225433526,0.9226680973263769,60.77
3,6,0.001,512,0.3,40,0.75798917,0.87062573,1.0,0.9339485186983972,0.9339485186983972,0.9339485186983972,166.69
